Attraction,Description,Address,Latitude,Telephone number,Website,Longitude,Type
Avenue of Stars,"The Avenue of Stars, located on the Tsim Sha Tsui waterfront, is a salute to eminent Hong Kong film workers for their devoted contribution to local and world theatres. It is also one of the ideal vantage points for visitors to appreciate the iconic Victoria Harbour and the light and sound show of ""A Symphony of Lights"".","Waterfront Podium Garden, Tsim Sha Tsui East, Kowloon",22.29305,(852) 5501 4431 ,https://www.avenueofstars.com.hk/en,114.17435,outdoor
Clock Tower,"The Clock Tower, adjacent to the Star Ferry Pier at Tsim Sha Tsui, is the remnants of the former Kowloon¡VCanton Railway terminus. It is a declared monument constructed in 1915. The bell, which was relocated since 1975, was returned to the Clock Tower in 2010, further enhancing the historical significance of the Clock Tower.","Star Ferry Pier, Kowloon Point, Tsim Sha Tsui, Kowloon",22.29359,-,http://www.discoverhongkong.com/eng/see-do/culture-heritage/historical-sites/colonial/clock-tower.jsp,114.16954,outdoor
Golden Bauhinia Square (and Hong Kong Convention and Exhibition Centre),"Golden Bauhinia Square outside the Hong Kong Convention and Exhibition Centre on the Wan Chai waterfront marks the unification of Hong Kong with the motherland. The ""Forever Blooming Bauhinia"" Sculpture (Golden Bauhinia) at the Square is a gift from the Central People's Government. There is also the flag-raising ceremony held every morning.","1 Expo Drive, Wan Chai, Hong Kong Island",22.28404,-,http://www.discoverhongkong.com/eng/see-do/highlight-attractions/harbour-view/golden-bauhinia-square.jsp,114.17335,indoor
Green Tourism,"Hong Kong, by virtue of its rich and diversified natural assets, is well-known for the green tourism attractions. These include the famous Hong Kong UNESCO Global Geopark and Hong Kong Wetland Park, natural scenery of various outlying island, popular hiking trails and other green attractions. If you are looking for some outing options or want to take a long walk in the countryside for pleasure or exercise, visit these websites to help you plan ahead.",-,22.1511,-,"http://www.geopark.gov.hk/en_index.htm (Hong Kong UNESCO Global Geopark), http://www.wetlandpark.gov.hk/en (Hong Kong Wetland Park), http://hiking.gov.hk/eng/index.htm (Enjoy Hiking), http://www.discoverhongkong.com/eng/see-do/great-outdoors/index.jsp (Great Outdoors) and https://www.yimtintsaiartsfestival.hk/ytt-history.php?lang=en (About Yim Tin Tsai)",114.1259,outdoor
Hong Kong Disneyland Resort,"Hong Kong Disneyland Resort is a world-class family-friendly international theme park located on Lantau Island. The Resort comprises a theme park and three themed resort hotels, offering dining, shopping and entertainment experiences. Visitors will be immersed in a world full of fantasy, imagination and magic. You may also enjoy a relaxing moment at the Inspiration Lake Recreation Centre in the vicinity of the Resort.","Hong Kong Disneyland Resort, Lantau Island",22.313,(852) 3550 3388 ,https://www.hongkongdisneyland.com/?located=true,114.04,indoor
Hong Kong Neighbourhoods - Sham Shui Po,"A historical community in Hong Kong with a down-to-earth charisma, Sham Shui Po is home to multiple historic sites, characteristic architecture, religious buildings, local diners, hawker stalls, shopping malls and bazaars. In this Sham Shui Po promotion campaign, diversified travelling experiences of the district are re-integrated under the theme, ""Every Bit Local"", to introduce the local hotspots in the district.","Sham Shui Po, Kowloon",22.3286,-,http://www.discoverhongkong.com/eng/see-do/neighbourhoods/sham-shui-po.jsp,114.1603,indoor
Ladies' Market,"The Ladies' Market is widely known for bargain-priced clothes and accessories for all ages. You can also find other merchandise including Chinese style souvenirs, toys, watches, etc. and enjoy the local foods in one of the most popular outdoor markets in Hong Kong.","Tung Choi Street, Mong Kok, Kowloon",22.31812,-,http://www.discoverhongkong.com/eng/shop/where-to-shop/street-markets-and-shopping-streets/ladies-market.jsp,114.17082,outdoor
Lan Kwai Fong,"Lan Kwai Fong is a world-renowned entertainment area in Central best known for its variety of dining, drinking and clubbing offerings. It has the ambience of party atmosphere, which is often enhanced by the street carnivals, in particular during major festivals such as New Year, Halloween and Christmas.","Lan Kwai Fong, Central, Hong Kong Island",22.28098,-,https://www.lankwaifong.com/,114.15565,indoor
Ocean Park Hong Kong,"Ocean Park, with an area of over 915,000 square metres, is an educational theme park featuring animals attractions, thrill rides and shows. The cable car and the Ocean Express are two main transport linking two major attractions areas, the Waterfront and the Summit. The park is committed to animal conservation while births of rare shark species, sea lions, endangered birds and butterflies have been recorded. Ocean Park also offers restaurants designed as the classic / famous Hong Kong-style, themed panda caf? or aquarium setting.","Wong Chuk Hang, Hong Kong Island",22.24707,(852) 3923 2323,https://www.oceanpark.com.hk/en,114.1746,outdoor
Old Town Central,"Old Town Central repackages the diverse tourism appeal of Central, including a number of thematic walking routes to introduce heritage buildings and landmarks, arts and culture, lifestyle as well as dining and entertainment offerings in the district. Together with the Tai Kwun (or the former Central Police Station Compound), the Central and Western District has been transformed into a community filled with an ""art-across-time"" ambience.","Central, Hong Kong Island",22.27126,-,http://www.discoverhongkong.com/eng/see-do/neighbourhoods/old-town-central.jsp,114.14989,indoor
Temple Street Night Market,"The Temple Street Night Market is a bustling street bazaar in Hong Kong famous for its open-air Cantonese opera performances, fortune telling stalls and ¡§dai pai dongs¡¨ (open-air food stalls). There are also a wide variety of affordable merchandise like clothes, watches, electronics, accessories, antiques, etc.","Temple Street, Yau Ma Tei, Kowloon",22.30716,-,http://www.discoverhongkong.com/eng/shop/where-to-shop/street-markets-and-shopping-streets/temple-street-night-market.jsp,114.17013,outdoor
The Peak,"The Peak is the highest point on Hong Kong Island. The historic Peak Tram provides visitors a unique experience to arrive at The Peak. Apart from the spectacular cityscape, The Peak Tower, one of the architectural icons in Hong Kong, also offers shopping, dining and entertainment for all. Visitors can take a leisure walk around The Peak or try hiking along the walking trails to explore the natural environment of Hong Kong.","The Peak, Hong Kong",22.27126,(852) 2522 0922 (The Peak Tram) or (852) 2849 0668 (The Peak Tower),https://www.thepeak.com.hk/en,114.30095,outdoor
Tsim Sha Tsui Promenade,"The Tsim Sha Tsui Promenade extends over 1,200m from the Tsim Sha Tsui Public Pier along the Victoria Harbour coastal line to Tsim Sha Tsui East. By strolling along the promenade, visitors will see the magnificent view of Hong Kong Island's cityscape and skyline, as well as the Hong Kong Cultural Centre and the Hong Kong Space Museum.","Tsim Sha Tsui, Kowloon",22.29615,-,http://www.discoverhongkong.com/eng/see-do/highlight-attractions/harbour-view/tsim-sha-tsui-promenade.jsp,114.30095,outdoor
Yim Tin Tsai,"Yim Tin Tsai (YTT) is a unique island where Hakka culture blends with Catholicism and blessed with rich ecology. The revitalised Chapel and saltpans are recognised with UNESCO Awards for Cultural Heritage Conservation. YTT Arts Festival turns YTT into an open museum, bringing to visitors new travel experiences integrating arts, religion, culture, heritage and green elements.","Sai Kung, New Territories ",22.37749,-,https://www.yimtintsaiartsfestival.hk/ytt-history.php?lang=en,,indoor